Country,Dish,Ingredients,Quantities,Facets,Description
Azerbaijan,Plov,Basmati rice; Lamb; Saffron; Apricots; Chestnuts; Raisins; Butter; Onion; Turmeric; Salt,500g; 500g; pinch; 100g; 100g; 100g; 150g; 2; 1/2 tsp; 1 tsp,LAMB; MAIN; RICE,"A celebrated Central Asian rice pilaf layered with saffron, dried fruits and lamb."
Azerbaijan,Dolma,Lamb mince; Grape leaves; Rice; Onion; Cilantro; Dill; Mint; Turmeric; Black pepper; Salt,500g; 40; 50g; 1; 2 tbsp; 2 tbsp; 1 tbsp; 1/2 tsp; 1/2 tsp; 1 tsp,LAMB; MAIN,"Grape leaves stuffed with herbed rice and ground meat, shared across the Middle East and Balkans."
Azerbaijan,Lyulya Kebab,Lamb mince; Lamb fat; Onion; Salt; Black pepper; Sumac; Cilantro,1kg; 200g; 2; 2 tsp; 1 tsp; 1 tbsp; 2 tbsp,GRILLED; LAMB; MAIN,"Minced lamb worked onto skewers and grilled over charcoal, an Azerbaijani street food staple."
Bahamas,Conch Fritters,Conch meat; Flour; Bell pepper; Onion; Celery; Thyme; Cayenne pepper; Garlic powder; Milk; Lime,250g; 200g; 1; 1; 1; 1 tsp; 1/2 tsp; 1 tsp; 100ml; 1,SNACKS; STARTERS,"Crispy Bahamian fritters packed with diced conch meat, bell pepper and island seasonings."
Bahamas,Peas n' Rice,Pigeon peas; Rice; Salt pork; Tomato paste; Thyme; Onion; Celery; Garlic; Scotch bonnet; Salt,200g; 400g; 100g; 2 tbsp; 2 sprigs; 1; 1; 2 cloves; 1; 1 tsp,PORK; RICE; SIDES,"A classic Bahamian side of pigeon peas simmered with rice, salt pork and thyme."
Bahamas,Guava Duff,Guava; Flour; Butter; Sugar; Eggs; Baking powder; Nutmeg; Cinnamon; Vanilla; Rum,500g; 400g; 150g; 200g; 2; 2 tsp; 1 tsp; 1 tsp; 1 tsp; 2 tbsp,DESSERTS; VEGETARIAN,A traditional Bahamian steamed pudding filled with guava paste and served with rum-butter sauce.
Bahrain,Machboos,Chicken; Basmati rice; Baharat spice; Dried lime; Turmeric; Cinnamon; Cardamom; Cloves; Ginger; Garlic,1kg; 500g; 1 tbsp; 2; 1 tsp; 1 stick; 5; 3; 1 tbsp; 3 cloves,MAIN; POULTRY; RICE,"A fragrant Gulf rice dish of chicken or lamb slow-cooked with baharat, dried lime and saffron."
Bahrain,Muhammar,Basmati rice; Sugar; Cardamom; Saffron; Rose water; Ghee; Cloves,500g; 200g; 1 tsp; pinch; 2 tbsp; 50g; 3,DESSERTS; RICE; VEGETARIAN,"A Bahraini sweet rice dish perfumed with rose water, saffron and cardamom."
Bahrain,Gabout,Flour; Ground meat; Onion; Baharat; Tomato paste; Turmeric; Dried lime; Cilantro; Garlic; Black pepper,300g; 200g; 2; 1 tbsp; 2 tbsp; 1/2 tsp; 1; 2 tbsp; 2 cloves; 1/2 tsp,MAIN; MEAT,Small Bahraini flour dumplings cooked in a spiced meat sauce with tomatoes and dried lime.
Bangladesh,Ilish Macher Jhol,Hilsa fish; Mustard oil; Turmeric; Nigella seeds; Green chilies; Mustard paste; Salt,500g; 50ml; 1 tsp; 1/2 tsp; 4; 2 tbsp; 1 tsp,LEAN_FISH; MAIN,Bangladesh's beloved hilsa fish curry cooked in mustard oil with turmeric and nigella seeds.
Bangladesh,Biryani,Basmati rice; Mutton; Yogurt; Ginger-garlic paste; Biryani spice mix; Onion; Ghee; Saffron; Kewra water; Salt,500g; 500g; 150g; 2 tbsp; 2 tbsp; 3; 100g; pinch; 1 tsp; 1 tsp,LAMB; MAIN; RICE,"Aromatic layered rice and meat perfumed with saffron and whole spices, a South Asian celebration dish."
Bangladesh,Bhuna Khichuri,Rice; Moong dal; Ghee; Turmeric; Ginger paste; Cinnamon; Cardamom; Cloves; Bay leaf; Salt,250g; 250g; 50g; 1 tsp; 1 tbsp; 1 stick; 3; 3; 1; 1 tsp,MAIN; RICE; VEGETARIAN,A comforting Bangladeshi porridge of rice and moong lentils with ghee and warm spices.
Barbados,Cou-cou,Cornmeal; Okra; Water; Butter; Salt; Black pepper,250g; 10; 500ml; 1 tbsp; 1 tsp; 1/2 tsp,MAIN; VEGETARIAN,Barbados's national dish: a firm cornmeal and okra mould served with flying fish.
Barbados,Flying Fish,Flying fish fillets; Lime juice; Bajan seasoning; Flour; Breadcrumbs; Egg; Thyme; Marjoram; Salt; Oil,4; 2 tbsp; 2 tbsp; 100g; 100g; 1; 1 tsp; 1/2 tsp; 1 tsp; 200ml,LEAN_FISH; MAIN,"Seasoned and fried Barbadian flying fish fillets, the island's iconic protein."
Barbados,Pudding and Souse,Sweet potato; Pig trotters; Lime juice; Cucumber; Scotch bonnet; Parsley; Thyme; Onion; Cloves; Salt,500g; 500g; 100ml; 1; 1; 2 tbsp; 1 tbsp; 1; 1/2 tsp; 2 tsp,DESSERTS,A Barbadian tradition of pickled pork with spiced sweet potato pudding.
Belarus,Draniki,Potatoes; Onion; Egg; Flour; Salt; Sour cream; Sunflower oil; Black pepper,1kg; 1; 1; 2 tbsp; 1 tsp; 100g; 100ml; 1/4 tsp,MAIN; VEGETARIAN,Crispy Belarusian potato pancakes fried golden and served with sour cream.
Belarus,Machanka,Pork ribs; Pork sausage; Sour cream; Flour; Onion; Bay leaf; Marjoram; Lard; Salt; Black pepper,500g; 200g; 200ml; 2 tbsp; 1; 1; 1 tsp; 30g; 1 tsp; 1/2 tsp,MAIN; PORK; SOUPS,Slow-cooked Belarusian pork ribs and sausage in a thick sour cream sauce.
Belarus,Kolduny,Potatoes; Ground pork; Onion; Egg; Garlic; Marjoram; Salt; Black pepper; Sour cream; Oil,1kg; 300g; 1; 1; 2 cloves; 1/2 tsp; 1 tsp; 1/2 tsp; 100g; 50ml,MAIN; PORK,Belarusian stuffed potato dumplings with a pork and onion filling.
Belgium,Moules-Frites,Mussels; Potatoes; White wine; Butter; Shallots; Celery; Parsley; Thyme; Garlic; Black pepper,2kg; 1kg; 200ml; 50g; 2; 1 stalk; 2 tbsp; 1 sprig; 2 cloves; 1/2 tsp,MAIN,Belgium's iconic dish of steamed mussels in white wine and butter served with crispy fries.
Belgium,Carbonade Flamande,Beef chuck; Abbey beer; Onions; Beef stock; Brown bread; Mustard; Thyme; Bay leaf; Butter; Brown sugar,1kg; 500ml; 3; 250ml; 1 slice; 2 tbsp; 2 sprigs; 1; 50g; 1 tbsp,BEEF; MAIN; SOUPS,"Belgian slow-braised beef in dark ale with thyme and bay leaf, a Flemish classic."
Belgium,Waterzooi,Chicken; Leeks; Carrots; Celery; Heavy cream; Egg yolks; Chicken stock; Parsley; Thyme; Butter,1kg; 2; 2; 1 stalk; 200ml; 2; 500ml; 1 tbsp; 1 sprig; 30g,MAIN; POULTRY; SOUPS,"A creamy Flemish stew of chicken or fish with vegetables in a rich broth, from Ghent."
Belize,Rice and Beans,Red kidney beans; Rice; Coconut milk; Thyme; Garlic; Onion; Salt; Black pepper; Recado rojo,200g; 400g; 400ml; 2 sprigs; 2 cloves; 1; 1 tsp; 1/2 tsp; 1 tsp,RICE; SIDES; VEGETARIAN,Belizean long-grain rice simmered with red kidney beans and coconut milk.
Belize,Boil Up,Cassava; Yam; Plantain; Sweet potato; Fish; Pig tail; Egg; Flour dumplings; Tomato sauce; Onion,200g; 200g; 1; 200g; 500g; 200g; 2; 4; 100ml; 1,MAIN,"A traditional Belizean one-pot meal of root vegetables, plantain and fish or pork."
Belize,Fry Jacks,Flour; Baking powder; Salt; Shortening; Water; Oil for frying,250g; 1 tsp; 1/2 tsp; 1 tbsp; 150ml; 500ml,BREADS; FRIED; MAIN; VEGAN; VEGETARIAN,Light fried dough pockets eaten at breakfast across Belize.
Benin,Kuli-kuli,Peanuts; Ginger powder; Chili powder; Salt; Peanut oil,500g; 1 tsp; 1/2 tsp; 1 tsp; 500ml,MAIN; SNACKS; VEGAN; VEGETARIAN,"West African fried peanut paste snacks from Benin, crunchy and protein-rich."
Benin,Amiwo,Corn flour; Tomato paste; Onion; Garlic; Chicken stock; Shrimp powder; Chili powder; Oil; Salt,300g; 2 tbsp; 1; 2 cloves; 500ml; 1 tbsp; 1/2 tsp; 2 tbsp; 1 tsp,MAIN; POULTRY,A Beninese maize porridge cooked with tomato paste and palm oil.
Benin,Wagasi,Wagasi cheese; Tomatoes; Onion; Chili pepper; Garlic; Ginger; Oil; Salt,500g; 3; 1; 1; 2 cloves; 1 tsp; 100ml; 1 tsp,MAIN; VEGETARIAN,"Fresh white cheese from Benin made from cows milk, pan-fried and served with vegetables."
Bhutan,Ema Datshi,Green chilies; Yak cheese; Garlic; Onion; Tomato; Butter; Salt; Water,250g; 200g; 3 cloves; 1; 1; 2 tbsp; 1 tsp; 200ml,CURRIES; MAIN; VEGETARIAN,Bhutan's national dish of fiery green chillies cooked with creamy yak cheese.
Bhutan,Phaksha Paa,Pork belly; Dried red chilies; Radish; Ginger; Garlic; Bok choy; Chili powder; Salt,500g; 10; 200g; 1 tbsp; 3 cloves; 100g; 1 tsp; 1 tsp,MAIN; PORK,Dried pork stir-fried with red chillies and radishes in Bhutanese style.
Bhutan,Jasha Maru,Chicken; Ginger; Garlic; Onion; Green chili; Tomato; Cilantro; Oil; Salt,500g; 2 tbsp; 1 tbsp; 1; 3; 1; 1/2 cup; 2 tbsp; 1 tsp,MAIN; POULTRY,"A spicy Bhutanese minced chicken curry with tomatoes, ginger and onion."
Bolivia,Salteñas,Beef; Flour; Potatoes; Peas; Gelatin; Aji panca; Cumin; Oregano; Onion; Olives,500g; 500g; 200g; 50g; 1 tbsp; 2 tbsp; 1 tsp; 1 tsp; 1; 12,BEEF; MAIN,"Bolivian baked empanadas with a juicy meat, potato and olive filling in sweet pastry."
Bolivia,Pique Macho,Beef steak; French fries; Sausage; Onion; Tomato; Locoto pepper; Cumin; Black pepper; Soy sauce; Egg,500g; 500g; 200g; 1; 2; 1; 1/2 tsp; 1/2 tsp; 1 tbsp; 2,BEEF; MAIN; PORK,"A hearty Bolivian platter of fried beef, sausages, chips, eggs and pickled vegetables."
Bolivia,Silpancho,Beef schnitzel; Rice; Potatoes; Onion; Tomato; Beetroot; Egg; Breadcrumbs; Cumin; Salt,4; 200g; 3; 1; 1; 1; 4; 100g; 1/2 tsp; 1 tsp,BEEF; MAIN,"A Bolivian dish of thin breaded beef over rice and potatoes, topped with a fried egg."
Bosnia and Herzegovina,Ćevapi,Ground beef; Ground lamb; Garlic; Baking soda; Black pepper; Salt; Somun bread; Raw onion; Kajmak,700g; 300g; 4 cloves; 1 tsp; 1 tsp; 2 tsp; 4; 2; 100g,BEEF; LAMB; MAIN,"Grilled skinless minced lamb and beef sausages, Bosnia's most beloved street food, served in flatbread with onion."
Bosnia and Herzegovina,Burek,Phyllo pastry; Ground beef; Onion; Black pepper; Salt; Butter; Water; Oil,500g; 500g; 2; 1 tsp; 1 tsp; 100g; 100ml; 2 tbsp,BEEF; BREADS; MAIN,"A layered phyllo pastry filled with minced meat, cheese or spinach, a Balkan staple."
Bosnia and Herzegovina,Klepe,Flour; Egg; Ground beef; Onion; Garlic; Sour cream; Butter; Paprika; Salt; Black pepper,300g; 1; 200g; 1; 2 cloves; 200ml; 30g; 1 tsp; 1 tsp; 1/2 tsp,BEEF; MAIN,Bosnian meat-filled dumplings served with garlic-yogurt sauce.
Botswana,Seswaa,Beef; Water; Salt; Black pepper,1kg; 1L; 1 tbsp; 1 tsp,BEEF; MAIN,Botswana's traditional dish of slow-boiled beef or goat pounded until tender.
Botswana,Bogobe,Sorghum flour; Water; Salt,500g; 1.5L; 1 tsp,SIDES; VEGAN; VEGETARIAN,A thick Botswanan sorghum or maize porridge served with stews.
Botswana,Matmekwane,Flour; Yeast; Water; Salt; Sugar; Oil,500g; 1 tsp; 300ml; 1 tsp; 1 tsp; for frying,MAIN; VEGAN; VEGETARIAN,"Botswanan steamed caterpillars, a protein-rich traditional snack."
Brazil,Feijoada,Black beans; Pork ribs; Paio sausage; Beef jerky; Bacon; Garlic; Bay leaf; Onion; Orange; Salt,500g; 300g; 200g; 200g; 100g; 4 cloves; 3; 1; 1; 1 tsp,BEEF; MAIN; PORK,Brazil's hearty national stew of black beans with pork and smoked sausage.
Brazil,Picanha,Top sirloin cap; Coarse sea salt,1.5kg; 3 tbsp,MAIN; BEEF; GRILLED,Brazil's most prized beef cut: top sirloin cap seasoned with coarse salt and grilled over charcoal.
Brazil,Moqueca,White fish; Shrimp; Coconut milk; Dendê oil; Bell peppers; Onion; Tomatoes; Cilantro; Garlic; Lime,800g; 200g; 400ml; 2 tbsp; 2; 1; 2; 1/2 cup; 3 cloves; 1,LEAN_FISH; MAIN,A vibrant Brazilian seafood stew of fish and prawns in coconut milk and palm oil.
Brunei,Ambuyat,Sago starch; Hot water,500g; 1L,MAIN; VEGAN; VEGETARIAN,Brunei's national dish of thick starchy sago paste eaten by dipping into a tangy sauce.
Brunei,Kelupis,Glutinous rice; Coconut milk; Pandan leaves; Salt; Nyirik leaves,500g; 300ml; 2; 1 tsp; for wrapping,MAIN; VEGETARIAN,"Glutinous rice cooked in coconut milk and wrapped in nyirik leaves, a Brunei festival snack."
Brunei,Nasi Katok,Fried chicken; White rice; Chili paste; Garlic; Onion; Ginger; Shrimp paste; Sugar; Tamarind; Salt,4 pieces; 4 servings; 4 tbsp; 3 cloves; 1; 1 tsp; 1 tsp; 1 tbsp; 1 tbsp; 1 tsp,MAIN; POULTRY; RICE,A simple Brunei staple of plain rice with fried chicken and sambal chili sauce.
Bulgaria,Banitsa,Phyllo pastry; Sirene cheese; Yogurt; Eggs; Baking soda; Butter; Salt,500g; 400g; 400g; 4; 1 tsp; 100g; 1/2 tsp,BREADS; MAIN; VEGETARIAN,"Bulgaria's flaky filo pastry filled with white cheese and eggs, eaten on New Year's Eve."
Bulgaria,Shkembe Chorba,Tripe; Milk; Garlic; Vinegar; Chili flakes; Paprika; Butter; Salt; Peppercorns,500g; 500ml; 5 cloves; 50ml; 1 tbsp; 1 tsp; 30g; 1 tsp; 5,MAIN; SOUPS; VEGETARIAN,A pungent Bulgarian tripe soup spiced with garlic and vinegar.
Bulgaria,Kavarma,Pork; Leeks; Onion; Mushrooms; Tomato paste; Savory herb; Paprika; Red wine; Black pepper; Salt,800g; 2; 1; 200g; 1 tbsp; 1 tsp; 1 tsp; 100ml; 1/2 tsp; 1 tsp,MAIN; PORK; SOUPS,A slow-cooked Bulgarian clay pot stew of pork or chicken with peppers and mushrooms.
Burkina Faso,Riz Gras,Rice; Chicken; Tomato paste; Onion; Garlic; Ginger; Chili pepper; Oil; Thyme; Maggi cube,500g; 500g; 3 tbsp; 2; 3 cloves; 1 tsp; 1; 100ml; 1/2 tsp; 1,MAIN; POULTRY; RICE,A rich West African one-pot rice cooked in tomato-based meat stock.
Burkina Faso,Poulet Bicyclette,Tough chicken; Ginger; Garlic; Onion; Chili powder; Oil; Salt; Thyme,1; 2 tbsp; 3 cloves; 1; 1 tsp; 50ml; 1 tsp; 1 tsp,MAIN; POULTRY,"A Burkinabe grilled free-range chicken dish, known for its firm and flavourful meat."
Burkina Faso,Babenda,Spinach; Soumbala; Fermented locust beans; Rice; Smoked fish; Peanut paste; Chili pepper; Salt,300g; 2 tbsp; 1 tbsp; 100g; 100g; 2 tbsp; 1; 1 tsp,LEAN_FISH; MAIN,A nutritious Burkinabe dish of leafy greens cooked with fermented locust beans and peanut paste.
Burundi,Boko Boko Harees,Cracked wheat; Chicken; Onion; Turmeric; Cinnamon; Ghee; Salt; Sugar,500g; 500g; 2; 1 tsp; 1/2 tsp; 50g; 1 tsp; 1 tbsp,MAIN; POULTRY,Burundian slow-cooked cracked wheat and meat porridge of Middle Eastern origin.
Burundi,Ndagala,Small dried fish; Tomatoes; Onion; Garlic; Chili pepper; Oil; Salt; Lemon juice,300g; 2; 1; 2 cloves; 1; 3 tbsp; 1 tsp; 1 tbsp,LEAN_FISH; MAIN,"Tiny sun-dried sardines from Lake Tanganyika, a protein-rich Burundian staple."
Burundi,Mukeke,Mukeke fish; Garlic; Ginger; Lemon juice; Onion; Parsley; Oil; Salt,2; 3 cloves; 1 tsp; 2 tbsp; 1; 1 tbsp; 50ml; 1 tsp,LEAN_FISH; MAIN,"Grilled or fried Mukeke fish from Lake Tanganyika, a beloved Burundian delicacy."
Cambodia,Amok Trei,White fish; Coconut milk; Kroeung paste; Egg; Fish sauce; Palm sugar; Noni leaves; Kaffir lime leaves; Chili; Galangal,500g; 400ml; 3 tbsp; 1; 2 tbsp; 1 tbsp; 5; 3; 1; 1 tsp,LEAN_FISH; MAIN,Cambodia's national dish: fish steamed in coconut milk and kroeung paste custard in banana leaves.
Cambodia,Kuy Teav,Rice noodles; Pork bones; Shrimp; Garlic oil; Bean sprouts; Scallions; Star anise; Cinnamon; Fish sauce; Cilantro,400g; 500g; 100g; 2 tbsp; 100g; 2; 2; 1 stick; 2 tbsp; 1/4 cup,MAIN; PORK; SOUPS; PASTA,"Cambodian rice noodle soup in a clear pork broth, garnished with bean sprouts and herbs."
Cambodia,Lok Lak,Beef sirloin; Soy sauce; Oyster sauce; Lime juice; Black pepper; Garlic; Sugar; Lettuce; Tomato; Onion,500g; 2 tbsp; 1 tbsp; 3 tbsp; 1 tsp; 3 cloves; 1 tbsp; 1 head; 1; 1,BEEF; MAIN,Cambodian stir-fried beef cubes on lettuce with a tangy lime and pepper sauce.
Cameroon,Ndolé,Ndolé leaves; Peanut paste; Beef; Shrimp; Onion; Garlic; Ginger; Palm oil; Chili pepper; Salt,400g; 300g; 300g; 200g; 2; 4 cloves; 1 tbsp; 100ml; 1; 1 tsp,BEEF; MAIN; SOUPS,"Cameroon's national dish of bitter ndolé leaves stewed with groundnuts, shrimp and beef."
Cameroon,Achu Soup,Cocoyam; Palm oil; Limestone/Kanwa; Beef/Skin; Achu spice mix; Chili; Salt,1kg; 100ml; 1 tsp; 300g; 2 tbsp; 1; 1 tsp,BEEF; MAIN; SOUPS,A traditional Cameroonian yellow palm oil soup served with pounded cocoyam.
