Category,Name,Ingredients,Quantities,Facets,Description
Sauce,Mole Sauce,Dried chilies; Tomatoes; Onion; Garlic; Dark chocolate; Cumin; Cinnamon; Chicken Stock; Oil; Salt,100g; 3; 1; 4 cloves; 50g; 5g; 3g; 500ml; 45ml; 5g,CONDIMENTS; POULTRY,"A complex Mexican sauce of dried chilies, dark chocolate and over a dozen spices."
Sauce,Romesco Sauce,Roasted red peppers; Tomatoes; Almonds; Garlic; Olive oil; Red wine vinegar; Smoked paprika; Salt,3; 2; 50g; 3 cloves; 100ml; 30ml; 5g; 3g,CONDIMENTS,A Catalan sauce of roasted peppers and almonds with smoked paprika and sherry vinegar.
Sauce,Mayonnaise,Egg yolks; Oil; Lemon juice; Mustard; Salt,2; 300ml; 1 tbsp; 1 tsp; 1/2 tsp,CONDIMENTS,"A rich cold emulsion of egg yolks, oil, lemon and mustard."
Sauce,Peanut Sauce,Peanut butter; Coconut milk; Soy sauce; Lime juice; Garlic; Ginger; Chili; Brown sugar,200g; 200ml; 2 tbsp; 1 tbsp; 2 cloves; 1 tsp; 1; 1 tbsp,CONDIMENTS,"A South-East Asian coconut and peanut butter sauce with soy, lime and chili."
Sauce,Teriyaki Sauce,Soy sauce; Mirin; Sugar; Garlic; Ginger; Cornstarch,100ml; 100ml; 2 tbsp; 2 cloves; 1 tsp; 1 tsp,CONDIMENTS,"A Japanese glaze of soy sauce, mirin and sugar for glazing chicken and salmon."
Sauce,Harissa,Dried red chilies; Garlic; Caraway seeds; Cumin; Coriander; Olive oil; Lemon juice; Salt,100g; 4 cloves; 1 tsp; 1 tsp; 1 tsp; 50ml; 1 tbsp; 1/2 tsp,CONDIMENTS,"A fiery North African chili paste of dried red peppers, garlic and spices."
Sauce,Tahini Sauce,Tahini; Lemon juice; Garlic; Water; Salt,150g; 50ml; 2 cloves; 50ml; 1/2 tsp,CONDIMENTS,"A Middle Eastern dressing of sesame paste, lemon juice and garlic."
Paste,Red Curry Paste,Red chilies; Lemongrass; Galangal; Garlic; Shallots; Kaffir lime leaves; Coriander; Cumin; Shrimp paste,10; 2 stalks; 30g; 5 cloves; 3; 4; 5g; 3g; 15g,CONDIMENTS,"A Thai paste of dried red chilies, lemongrass and galangal, the base of red curries."
Paste,Green Curry Paste,Green chilies; Lemongrass; Galangal; Garlic; Shallots; Coriander; Kaffir lime leaves; Cumin; Shrimp paste,10; 2 stalks; 30g; 5 cloves; 3; 20g; 4; 3g; 15g,CONDIMENTS,"A Thai paste of fresh green chilies, lemongrass and coriander, used in coconut green curries."
Base,Sofrito,Tomatoes; Bell pepper; Onion; Garlic; Olive oil; Parsley; Salt,4; 2; 2; 4 cloves; 100ml; 10g; 5g,CONDIMENTS,"A Spanish and Latin American base of sautéed onion, garlic, tomato and bell pepper."
Base,Mirepoix,Onion; Carrots; Celery; Butter; Bay leaf; Thyme; Salt,2; 2; 3 stalks; 30g; 1; 2 sprigs; 5g,CONDIMENTS,"The French aromatic base of diced onion, carrots and celery cooked gently in butter."
Sauce,Velouté,Butter; Flour; Chicken Stock; Salt; White pepper,30g; 30g; 500ml; 1/2 tsp; 1/4 tsp,CONDIMENTS; POULTRY,"A French mother sauce of butter, flour and chicken stock."
Sauce,Espagnole,Beef Stock; Mirepoix; Tomato paste; Red wine; Flour; Butter; Thyme; Bay leaf,1L; 1 serving; 2 tbsp; 100ml; 2 tbsp; 30g; 2 sprigs; 1,BEEF; CONDIMENTS,"A rich French brown sauce of beef stock, mirepoix and tomato paste."
Sauce,Demi-Glace,Espagnole; Veal Stock; Thyme; Bay leaf,500ml; 500ml; 2 sprigs; 1,BEEF; CONDIMENTS,A deeply concentrated French sauce made by reducing veal stock and Espagnole.
Sauce,BBQ Sauce,Tomato Sauce; Brown sugar; Vinegar; Worcestershire sauce; Paprika; Garlic powder; Mustard; Salt,200ml; 50g; 2 tbsp; 2 tbsp; 1 tsp; 1 tsp; 1 tsp; 1/2 tsp,CONDIMENTS,"A smoky, tangy American condiment of tomato, brown sugar, vinegar and spices."
Sauce,Tartare Sauce,Mayonnaise; Capers; Pickles; Parsley; Lemon juice; Dill; Shallots,200g; 1 tbsp; 3; 1 tbsp; 1 tsp; 1 tsp; 1,CONDIMENTS,"A cold sauce of mayonnaise with capers, pickles and dill, served with fried fish."
Sauce,Aioli,Mayonnaise; Garlic; Lemon juice; Salt,200g; 4 cloves; 1 tbsp; 1/2 tsp,CONDIMENTS,"A Provençal garlic mayonnaise of pounded garlic, egg yolks and olive oil."
Sauce,Remoulade,Mayonnaise; Mustard; Capers; Pickles; Parsley; Lemon juice; Salt,200g; 1 tbsp; 1 tbsp; 2; 1 tbsp; 1 tsp; 1/2 tsp,CONDIMENTS,"A French cold sauce of mayonnaise, mustard, capers and herbs."
Spice Mix,Garam Masala,Cumin; Coriander; Cardamom; Cinnamon; Cloves; Black pepper; Nutmeg,30g; 30g; 20g; 10g; 10g; 10g; 5g,SPICES,"A North Indian warming spice blend of cumin, cardamom, cinnamon and cloves."
Spice Mix,Ras el Hanout,Cumin; Coriander; Cinnamon; Cardamom; Turmeric; Paprika; Allspice; Cloves; Ginger; Nutmeg,10g; 10g; 5g; 5g; 5g; 5g; 3g; 3g; 3g; 1g,SPICES,A complex Moroccan spice blend whose name means top of the shop.
Spice Mix,Baharat Blend,Allspice; Black pepper; Coriander; Cumin; Cinnamon; Cardamom; Nutmeg; Cloves,20g; 20g; 20g; 10g; 10g; 8g; 8g; 8g,SPICES,"A Middle Eastern spice blend of allspice, coriander and cinnamon."
Blend,Ground beef/lamb,Ground beef; Ground lamb,500g; 500g,BEEF; CONDIMENTS; LAMB,"A blend of ground beef and lamb mixed for kebabs, burgers and stuffed pastries."
Blend,Ground beef/pork,Ground beef; Ground pork,500g; 500g,BEEF; CONDIMENTS; PORK,A European blend of ground beef and pork for meatballs and meat sauces.
Blend,Ground chicken/beef,Chicken; Ground beef,250g; 250g,BEEF; CONDIMENTS; POULTRY,A lighter mixed mince of chicken and beef for patties and stuffed dishes.
Base,Sancocho (base),Plantain; Cassava; Potato; Corn; Onion; Garlic; Cumin; Cilantro; Saffron/Achiote,2; 200g; 2; 2; 1; 3 cloves; 1 tsp; 1/4 cup; 1/2 tsp,CONDIMENTS,The starchy vegetable base of the Latin American sancocho stew.
Base,Casado (base),Rice; Black beans; Fried plantain; Cabbage salad; Fried egg; Tortilla; Onion; Garlic; Salt,200g; 200g; 1; 100g; 1; 1; 1; 2 cloves; 1 tsp,CONDIMENTS,"The foundational combination of rice, black beans and fried plantain of Costa Rica's casado."
Base,Peka (base),Potatoes; Carrots; Onion; Garlic; Rosemary; White wine; Olive oil; Salt; Black pepper,1kg; 2; 1; 3 cloves; 2 sprigs; 100ml; 50ml; 2 tsp; 1 tsp,CONDIMENTS,The Dalmatian aromatic base slow-cooked under the traditional peka bell.
Base,Souvla (base),Oregano; Salt; Black pepper; Olive oil,2 tbsp; 2 tsp; 1 tsp; 50ml,CONDIMENTS,The Cypriot herb-and-oil seasoning paste rubbed on large cuts for spit-roasting.
Base,Fah-fah (base),Cabbage; Potatoes; Carrots; Green chili; Garlic; Ginger; Cilantro; Salt,200g; 2; 2; 1; 3 cloves; 1 tsp; 1/4 cup; 2 tsp,CONDIMENTS,"The East African vegetable base of cabbage, potato and chili for Djibouti's fah-fah soup."
Base,Callaloo Soup (base),Callaloo/Dasheen leaves; Coconut milk; Salt meat; Onion; Garlic; Thyme; Scallions; Black pepper; Salt,500g; 400ml; 200g; 1; 3 cloves; 2 sprigs; 2; 1/2 tsp; 1 tsp,CONDIMENTS,The Caribbean dasheen-leaf and coconut milk base of callaloo soup.
Base,La Bandera (base),White rice; Red beans; Onion; Bell pepper; Tomato paste; Garlic; Oregano; Cilantro; Salt,400g; 300g; 1; 1; 2 tbsp; 3 cloves; 1 tsp; 2 tbsp; 1 tsp,CONDIMENTS,The Dominican rice and red-bean base that forms the flag of everyday Dominican cooking.
Base,Pepe Soup (base),Njansang seeds; Garlic; Ginger; Chili pepper; Onion; Salt; Water,2 tbsp; 3 cloves; 1 tsp; 2; 1; 1 tsp; 1.5L,CONDIMENTS,The West African spiced broth base of njansang seeds for pepper soup.
Base,Zigni (base),Berbere spice; Niter Kibbeh/Butter; Onion; Tomato paste; Garlic; Ginger; Salt,4 tbsp; 100g; 4; 3 tbsp; 4 cloves; 1 tbsp; 1 tsp,CONDIMENTS,The Eritrean berbere and niter kibbeh base for the classic zigni stew.
Base,Lovo (base),Fish; Cassava; Taro; Coconut milk; Garlic; Ginger; Salt; Banana leaves,500g; 500g; 500g; 400ml; 4 cloves; 1 tbsp; 2 tsp; for wrapping,CONDIMENTS,The Fijian coconut milk and aromatics base for earth-oven lovo feasts.
Base,Domoda (base),Peanut butter; Tomato paste; Onion; Garlic; Chili pepper; Lemon juice; Salt; Water,250g; 2 tbsp; 2; 3 cloves; 1; 2 tbsp; 1 tsp; 1L,CONDIMENTS,The Gambian groundnut and tomato paste base of West Africa's peanut stew.
Base,Benachin (base),Rice; Tomato paste; Onion; Bell pepper; Eggplant; Cabbage; Ginger; Chili; Oil,500g; 3 tbsp; 2; 1; 1; 200g; 1 tsp; 1; 100ml,CONDIMENTS,The tomato-and-vegetable rice cooking base of Gambia's one-pot benachin.
Base,Fufu with Light Soup (base),Cassava; Plantain; Tomatoes; Onion; Ginger; Garlic; Chili pepper; Salt,500g; 500g; 3; 1; 1 tbsp; 2 cloves; 1; 1 tsp,CONDIMENTS,"The Ghanaian light broth base of tomatoes, onion and spices served with pounded fufu."
Base,Cook-up Rice (base),Rice; Black-eyed peas; Coconut milk; Onion; Garlic; Thyme; Scallions; Salt; Black pepper,400g; 200g; 400ml; 1; 3 cloves; 2 sprigs; 2; 1 tsp; 1/2 tsp,CONDIMENTS,The Caribbean coconut milk and legume base for Guyana's cook-up rice.
Base,Beshbarmak (base),Flat noodles; Onion; Black pepper; Salt; Parsley; Beef broth,300g; 3; 1 tsp; 2 tsp; 1 tbsp; 500ml,BEEF; CONDIMENTS,The flat noodle and beef broth base of Central Asia's beshbarmak.
Base,Nyama Choma (base),Salt; Garlic; Ginger; Lemon juice,2 tbsp; 3 cloves; 1 tsp; 2 tbsp,CONDIMENTS,"The East African salt, garlic and lemon marinade for open-fire grilling."
Base,Palm Butter (base),Palm nut pulp; Onion; Garlic; Chili pepper; Salt; Water,500g; 1; 2 cloves; 1; 1 tsp; 1L,CONDIMENTS,The West African palm nut pulp base for Liberian and Sierra Leonean soups.
Base,Satay (base),Lemongrass; Turmeric; Coriander; Cumin; Shallots; Garlic; Peanut sauce; Sugar; Salt,2; 1 tsp; 1 tsp; 1/2 tsp; 4; 3 cloves; 200ml; 2 tbsp; 1 tsp,CONDIMENTS,The South-East Asian lemongrass and peanut sauce marinade base for satay skewers.
Base,Custard,Egg yolks; Sugar; Milk; Heavy cream; Vanilla,4; 100g; 250ml; 250ml; 1 tsp,CONDIMENTS,"A classic French pastry cream base of egg yolks, sugar and cream."
Base,Shortcrust Pastry,Flour; Butter; Salt; Water; Sugar,250g; 125g; 1/2 tsp; 50ml; 1 tbsp,CONDIMENTS,A crumbly butter-and-flour pastry used as the base for tarts and pies.
Base,Choux Pastry,Water; Butter; Flour; Eggs; Salt,250ml; 100g; 150g; 4; 1/4 tsp,CONDIMENTS,"A light French pastry of butter, flour and eggs used for profiteroles and éclairs."
Base,Steamed Egg Meatloaf,Ground pork; Eggs; Dashi Stock; Soy sauce; Fish sauce; Sugar; Sesame oil; White pepper,300g; 4; 200ml; 1 tbsp; 1 tbsp; 1 tsp; 1 tsp; 1/2 tsp,CONDIMENTS; PORK,A soft East Asian steamed pork and egg dish with dashi and soy.
Base,Char Siu Pork,Pork shoulder; Hoisin sauce; Soy sauce; Honey; Five-spice powder; Shaoxing wine; Garlic; Ginger,500g; 3 tbsp; 2 tbsp; 2 tbsp; 1 tsp; 2 tbsp; 3 cloves; 1 tsp,CONDIMENTS; PORK,"Chinese BBQ pork marinated in hoisin, soy and five-spice and roasted until lacquered."
